artist,song.name,year,corpus,rank,start,end,male,non.cis,race,ethnicity,primary.status,BIPOC,gender,encoder,
James Brown,It's a Man's Man's Man's World,1966,2004,123,,,0,0,0,0,0,0,0,TM,
James Brown,Papa's Got a Brand New Bag,1966,2021,34,,,0,0,0,0,0,0,0,TM,
James Brown,Papa's Got a Brand New Bag,1966,2004,72,,,1,0,0,0,1,0,1,TM,
James Brown,"Please, Please, Please",1956,2004,142,,,1,0,1,0,1,1,1,TM,
James Brown,Say It Loud (I'm Black and I'm Proud),1968,2004,305,,,0,0,0,0,0,0,0,TM,
James Brown,Say It Loud (I'm Black and I'm Proud),1968,2021,393,,,0,0,1,0,1,1,0,TM,
James Taylor,Fire And Rain,1970,2004,227,,,0,0,0,0,0,0,0,TM,
James Taylor,Fire and Rain,1970,2021,146,,,0,0,1,0,1,1,0,TM,
Janet Jackson,Rhythm Nation,1989,2021,475,,,0,0,0,0,0,0,0,TM,
Janis Joplin,Me and Bobby McGee,1971,2004,148,,,0,0,0,0,0,0,0,TM,
Jay-Z,99 Problems,2003,2021,96,,,0,0,0,1,0,0,0,TM,
Jeff Buckley,Grace,1994,2021,394,,,0,0,0,1,0,0,0,TM,
Jeff Buckley,Hallelujah,1994,2004,259,,,0,0,0,0,0,0,0,TM,
Jefferson Airplaine,Somebody To Love,1967,2004,274,,,0,0,0,0,0,0,0,TM,
Jefferson Airplaine,White Rabbit,1967,2004,478,,,0,0,0,0,0,0,0,TM,
Jefferson Airplane,White Rabbit,1967,2021,455,,,0,0,0,1,0,0,0,TM,
Jerry Butler and the Impressions,For Precious Love,1958,2004,327,,,0,0,0,1,0,0,0,TM,
Jerry Lee Lewis,Great Balls Of Fire,1957,2004,96,,,0,0,0,1,0,0,0,TM,
Jerry Lee Lewis,Great Balls of Fire,1957,2021,242,,,0,0,0,1,0,0,0,TM,
Jerry Lee Lewis,Whole Lotta Shakin' Goin On,1957,2004,61,,,0,0,0,1,0,0,0,TM,
The Doors,The End,1967,2004,328,,,1,0,0,0,1,0,1,,
The Drifters,Money Honey,1953,2004,252,,,1,0,1,0,1,1,1,,
The Drifters,Save the Last Dance for Me,1960,2004,182,,,0,0,1,0,1,1,0,,
The Drifters,There Goes My Baby,1959,2004,193,,,0,0,0,0,0,0,0,,
The Drifters,Under the Boardwalk,1964,2004,487,,,0,0,0,0,0,0,0,,
The Drifters,Up On the Roof,1962,2004,113,,,0,0,1,1,1,1,0,,
The Drifters,Up on the Roof,1964,2021,375,,,1,0,0,1,1,1,1,,
The Eagles,Desperado,1973,2004,494,,,0,0,0,0,0,0,0,,
The Eagles,Hotel California,1976,2004,49,,,0,0,0,0,0,0,0,,
The Eagles,Hotel California,1976,2021,311,,,0,0,0,0,0,0,0,,
The Everly Brothers,All I Have to Do Is Dream,1958,2004,141,,,0,0,0,1,0,0,0,,
The Everly Brothers,Bye Bye Love,1957,2004,207,,,0,0,0,1,0,0,0,,
The Everly Brothers,Cathy's Clown,1960,2004,149,,,0,0,0,1,0,0,0,,
The Everly Brothers,Wake Up Little Susie,1957,2004,311,,,0,0,0,1,0,0,0,,
The Five Satins,In the Still of the Night,1956,2021,170,,,0,0,0,1,0,0,0,,
The Five Satins,In the Still of the Night,1956,2004,90,,,0,0,0,1,0,0,0,,
The Five Stairsteps,O-o-h Child,1970,2004,392,,,0,0,0,1,0,0,0,,
The Flamingos,I Only Have Eyes for You,1959,2004,157,,,1,0,1,1,1,1,1,,
The Flamingos,I Only Have Eyes for You,1959,2021,175,,,1,0,0,0,1,0,1,,
The Four Tops,Baby I Need Your Loving,1964,2004,390,,,1,0,1,0,1,1,1,,
The Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1965,2004,415,,,1,0,1,1,1,1,1,,
The Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1965,2021,483,,,0,0,0,0,0,0,0,,
The Four Tops,Reach Out (I'll Be There),1967,2021,78,,,0,0,0,0,0,0,0,,
The Four Tops,Reach Out (I'll Be There),1966,2004,206,,,1,0,1,0,1,1,1,,
The Four Tops,Standing in the Shadows of Love,1966,2004,464,,,0,0,0,0,0,0,0,,
The Funky 4 + 1,That's the Joint,1980,2021,288,,,0,0,0,1,0,0,0,,
The Grateful Dead,Box of Rain,1970,2021,364,,,1,0,1,0,1,1,1,,
The Grateful Dead,Ripple,1970,2021,334,,,0,0,1,0,1,1,0,,
The Impressions,People Get Ready,1965,2004,24,,,0,0,1,0,1,1,0,,
The Impressions,People Get Ready,1965,2021,122,,,1,0,0,1,0,0,0,,
The Isley Brothers,It's Your Thing,1969,2004,420,,,1,0,0,1,0,0,0,,
The Isley Brothers,Shout (Parts 1 and 2),1959,2004,118,,,0,0,1,1,1,1,0,,
The Isley Brothers,Shout (Parts 1 and 2),1959,2021,268,,,0,0,1,1,1,1,0,,
The Isley Brothers,The Lady (Part 1 and 2),1973,2004,348,,,1,0,0,0,1,0,1,,
The Jam,That's Entertainment,1980,2004,306,,,0,0,0,0,0,0,0,,
The Jimi Hendrix Experience,All Along the Watchtower,1968,2004,48,,,1,0,1,0,1,1,1,,
The Jimi Hendrix Experience,All Along the Watchtower,1968,2021,40,,,0,0,0,0,0,0,0,,
The Jimi Hendrix Experience,Foxey Lady,1965,2004,152,,,0,0,0,0,0,0,0,,
The Jimi Hendrix Experience,Hey Joe,1966,2004,198,,,1,0,1,0,1,1,1,,
The Jimi Hendrix Experience,Little Wing,1967,2021,188,,,1,0,1,0,1,1,1,,
The Jimi Hendrix Experience,Purple Haze,1967,2004,17,,,1,0,1,0,1,1,1,,
The Jimi Hendrix Experience,Purple Haze,1967,2021,250,,,0,0,0,0,0,0,0,,
The Kinks,Waterloo Sunset,1967,2004,42,,,0,0,1,0,1,1,0,,
The Kinks,Waterloo Sunset,1967,2021,14,,,0,0,1,0,1,1,0,,
The Kinks,You Really Got Me,1964,2004,82,,,0,0,0,1,0,0,0,,
The Kinks,You Really Got Me,1964,2021,176,,,0,0,0,0,0,0,0,,
The Left Banke,Walk Away Renee,1966,2004,220,,,0,0,0,0,0,0,0,,
The Lovin' Spoonful,Summer In the City,1966,2004,393,,,1,0,1,0,1,1,1,,
The Marvelettes,Please Mr. Postman,1961,2021,331,,,0,0,0,0,0,0,0,,
The Meters,Cissy Strut,1969,2021,158,,,0,0,1,0,1,1,0,,
The Miracles,Shop Around,1960,2004,495,,,0,0,0,0,0,0,0,,
The Miracles,The Tracks of My Tears,1965,2004,50,,,0,0,1,0,1,1,0,,
The Modern Lovers,Roadrunner,1976,2004,269,,,0,0,0,0,0,0,0,,
The Modern Lovers,Roadrunner,1976,2021,77,,,1,0,1,1,1,1,1,,
The Notorious B.I.G,Big Poppa,1994,2021,330,,,,,,,,,,,
The Penguins,Earth Angel,1954,2004,151,,,,,,,,,,,
The Pixies,Monkey Gone to Heaven,1989,2004,410,,,,,,,,,,,
The Pixies,Where Is My Mind?,1988,2021,493,,,,,,,,,,,
The Platters,The Great Pretender,1955,2004,351,,,,,,,,,,,
The Police,Every Breath You Take,1983,2004,84,,,,,,,,,,,
The Police,Every Breath You Take,1983,2021,305,,,,,,,,,,,
The Police,Roxanne,1979,2004,388,,,,,,,,,,,
The Ramones,Blitzkrieg Bop,1976,2004,92,,,,,,,,,,,
The Ramones,I Wanna Be Sedated,1978,2004,144,,,,,,,,,,,
The Ramones,Sheena Is a Punk Rocker,1977,2004,457,,,,,,,,,,,
The Righteous Brothers,Unchained Melody,1965,2004,365,,,,,,,,,,,
The Righteous Brothers,Unchained Melody,1965,2021,269,,,,,,,,,,,
The Righteous Brothers,You've Lost That Lovin' Feelin',1964,2004,34,,,,,,,,,,,
The Rolling Stones,(I Can't Get No) Satisfaction,1965,2021,31,,,,,,,,,,,
The Rolling Stones,Beast of Burden,1978,2004,435,,,,,,,,,,,
The Rolling Stones,Brown Sugar,1971,2004,490,,,,,,,,,,,
The Rolling Stones,Gimme Shelter,1969,2004,38,,,,,,,,,,,
The Rolling Stones,Gimme Shelter,1969,2021,13,,,,,,,,,,,
The Rolling Stones,Honky Tonk Women,1969,2004,116,,,,,,,,,,,
The Rolling Stones,Jumpin' Jack Flash,1968,2004,124,,,,,,,,,,,
The Rolling Stones,Jumpin' Jack Flash,1968,2021,144,,,,,,,,,,,
